고유 식별자,이름,나이,지역,직책,소속당,공약,프로필이미지_URL
이재명_더불어민주당_대통령,이재명,61,대한민국,대통령,더불어민주당,민주주의 회복·AI 강화·복지 확대·기후대응 중심 정책 공약,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2F5f6c9c3e-ec97-4a6f-8435-500d64bdb83d.jpg
김동연_더불어민주당_경기도지사,김동연,68,경기,경기도지사,더불어민주당,"295개 공약 중 60% 이행, SA등급 4년 연속 최우수 평가",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F202204%2F20220427221303612.jpg
김진태_국민의힘_강원특별자치도지사,김진태,60,강원,강원특별자치도지사,국민의힘,"총 125개 공약 중 65개 완료(52%)·정상 추진 포함 시 93.6% 이행, 강원특례법·미래산업·SOC 공약화",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2F80e780d8-403e-42fc-8cdf-76e72f0992a0.jpg
김영환_국민의힘_충청북도지사,김영환,70,충청북,충청북도지사,국민의힘,"민선8기 100대 공약 중 완료 13%, 정상 추진 포함 95% 진행, 도민배심원단 점검 체계 구축",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F202003%2F20200316225521447.jpg
김태흠_국민의힘_충청남도지사,김태흠,69,충청남,충청남도지사,국민의힘,"민선8기 공약 이행률 61.8%, 2년 연속 전국 SA등급 최우수 평가, 충남 혁신도시 및 SOC 확충 중심",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F201610%2F20161019150451929.jpg
이철우_국민의힘_경상북도지사,이철우,69,경상북,경상북도지사,국민의힘,"민선8기 경북도 공약 120개 중 70% 이상 정상 추진, 대구경북 통합신공항·광역철도 핵심",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F201901%2F20190121081347845.png
박완수_국민의힘_경상남도지사,박완수,69,경상남,경상남도지사,국민의힘,"5대 핵심 공약 중 복지 1건 이행, 나머지 정상 추진, SA 등급 3년 연속 최고 평가",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F124%2F202305041044463001.jpg
김관영_더불어민주당_전북특별자치도지사,김관영,55,전북,전북특별자치도지사,더불어민주당,"124개 공약 중 이행률 64.5%, 재정 확보율 과제, 전북특별자치도 완성 및 농생명산업 강화",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F202204%2F20220414095659772.jpg
김영록_더불어민주당_전라남도지사,김영록,70,전라남,전라남도지사,더불어민주당,"전남 공약 이행률 68%, 블루이코노미 6대 프로젝트, 해양·에너지 산업 육성",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F202008%2F20200803095145282.jpg
오영훈_더불어민주당_제주특별자치도지사,오영훈,56,제주,제주특별자치도지사,더불어민주당,"제주특별자치도 공약 이행률 65%, 2030 카본프리 아일랜드, 제주 2공항 건설 추진",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fcbf92d0e-4d62-45ae-a773-60710a88cea0.png
박형준_국민의힘_부산광역시장,박형준,65,부산,부산광역시장,국민의힘,"부산광역시 공약 이행률 70%, 2030 엑스포 유치, 해양수도 부산 프로젝트",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F202206%2F20220614124039717.jpg
김정기_행정부_대구광역시장,김정기,55,대구,대구광역시장,행정부,"대구광역시 공약 이행률 60%, 대구경북 통합신공항 연계 산업단지 구축",https://www.yeongnam.com/mnt/file_m/202505/news-p.v1.20250529.f43f8f76042944e2b4229079755d67ab_P1.jpg
유정복_국민의힘_인천광역시장,유정복,68,인천,인천광역시장,국민의힘,"인천광역시 공약 이행률 66%, 수도권 매립지 종료, 인천 내항 재개발",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2F0306b42e-6d0e-4adc-bf58-d97ebd5a6735.png
강기정_더불어민주당_광주광역시장,강기정,61,광주,광주광역시장,더불어민주당,"광주광역시 공약 이행률 67%, AI 중심도시 광주, 광주형 일자리 2.0",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F74%2F202106081640416171.png
이장우_국민의힘_대전광역시장,이장우,60,대전,대전광역시장,국민의힘,"대전광역시 공약 이행률 64%, 대덕특구 혁신, 도시철도 3호선 추진",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F202203%2F20220328143639535.png
김두겸_국민의힘_울산광역시장,김두겸,67,울산,울산광역시장,국민의힘,"울산광역시 공약 이행률 63%, 동해남부선 복원, 울산 산업·에너지 특화",https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F202205%2F20220508210951288.jpg
